	dealII-1	dealII-2	dealII-4	dealII-8	sphinx3-1	sphinx3-2	sphinx3-4	sphinx3-8	milc-1	milc-2	milc-4	milc-8	astar-1	astar-2	astar-4	astar-8	leslie3d-1	leslie3d-2	leslie3d-4	leslie3d-8	omnetpp-1	omnetpp-2	omnetpp-4	omnetpp-8	zeusmp-1	zeusmp-2	zeusmp-4	zeusmp-8	gobmk-1	gobmk-2	gobmk-4	gobmk-8	povray-1	povray-2	povray-4	povray-8	calculix-1	calculix-2	calculix-4	calculix-8	bwaves-1	bwaves-2	bwaves-4	bwaves-8	gromacs-1	gromacs-2	gromacs-4	gromacs-8	perlbench-1	perlbench-2	perlbench-4	perlbench-8	bzip2-1	bzip2-2	bzip2-4	bzip2-8	hmmer-1	hmmer-2	hmmer-4	hmmer-8	namd-1	namd-2	namd-4	namd-8	h264ref-1	h264ref-2	h264ref-4	h264ref-8	cactusADM-1	cactusADM-2	cactusADM-4	cactusADM-8	GemsFDTD-1	GemsFDTD-2	GemsFDTD-4	GemsFDTD-8	mcf-1	mcf-2	mcf-4	mcf-8	gamess-1	gamess-2	gamess-4	gamess-8	xalancbmk-1	xalancbmk-2	xalancbmk-4	xalancbmk-8	sjeng-1	sjeng-2	sjeng-4	sjeng-8	soplex-1	soplex-2	soplex-4	soplex-8	gcc-1	gcc-2	gcc-4	gcc-8	tonto-1	tonto-2	tonto-4	tonto-8	lbm-1	lbm-2	lbm-4	lbm-8	libquantum-1	libquantum-2	libquantum-4	libquantum-8
dealII-1	1.0080645161290323	1.002680965147453	1.0	1.002988047808765	1.0032102728731942	1.0031746031746032	1.0045558086560364	1.002012695463694	1.0172786177105833	1.011178861788618	1.0066006600660067	1.0072765072765073	1.04093567251462	1.0223463687150838	1.015802781289507	1.0081206496519721	1.018181818181818	1.0116618075801749	1.0088737201365188	1.0104431272932544	1.0893470790378006	1.0463847203274215	1.0	1.0	1.0047281323877069	1.005813953488372	1.0062857142857142	1.0	1.002439024390244	1.0024242424242424	1.0	1.0007541478129713	1.0	1.0040871934604905	1.001366120218579	1.0	1.0	1.0	1.0	1.0	1.0047961630695443	1.0011904761904762	1.0	1.0043980208905992	1.0	1.0	1.0006345177664975	1.001583782071587	1.0128865979381443	1.0141752577319587	1.0238693467336684	1.0089179548156957	1.0	1.0106666666666666	1.0099601593625498	1.0093578573733462	1.0032894736842106	1.0033112582781456	1.0	1.0004122011541632	1.0109170305676856	1.0032822757111597	1.0	1.0013687380235423	1.005128205128205	1.005128205128205	1.0048076923076923	1.0023847376788553	1.016566265060241	1.0119760479041917	1.0269217144881333	1.0004424778761063	1.0131233595800524	1.0	1.0023823704586063	1.0057402535278641	1.032846715328467	1.0439932318104908	1.0301003344481605	1.0101620433946719	1.0055555555555555	1.0	1.0130404941660947	1.0	1.0296610169491525	1.0197628458498025	1.009433962264151	1.0151068533529846	1.0063694267515924	1.0031670625494853	1.0039416633819471	1.003345798071246	1.0296296296296295	1.0073606729758149	1.0289367429340512	1.020857142857143	1.002717391304348	1.0363482671174977	1.0354166666666667	1.0166787527193617	1.001610305958132	1.011968085106383	1.003948667324778	1.0	1.017156862745098	1.0289855072463767	1.0204532891100055	1.0054789678331566	1.0515759312320916	1.0048602673147022	1.0174291938997821	1.490407358738502
dealII-2	1.0053763440860215	1.0134048257372654	1.0086724482988658	1.0096281540504648	1.0096308186195826	1.0071428571428571	1.0273348519362187	1.004644681839294	1.0280777537796977	1.008130081300813	1.0108439415370107	1.012058212058212	1.0497076023391814	1.0502793296089385	1.0214917825537295	1.0150812064965198	1.003030303030303	1.0131195335276968	1.0129692832764505	1.0189105278012984	1.147766323024055	1.068212824010914	1.0	1.0	1.0141843971631206	1.0069767441860464	1.0102857142857142	1.009679203539823	1.0097560975609756	1.006060606060606	1.0	1.0064102564102564	1.0	1.0	1.0061475409836065	1.0	1.0022421524663676	1.001121076233184	1.0005595970900951	1.000979020979021	1.0023980815347722	1.0011904761904762	1.0029308323563892	1.019516217702034	1.0	1.0038119440914866	1.0044416243654823	1.0022172949002217	1.0309278350515463	1.0373711340206186	1.033291457286432	1.0101070154577882	1.007936507936508	1.0133333333333334	1.0179282868525896	1.0193610842207164	1.0	1.0033112582781456	1.0	1.001648804616653	1.002183406113537	1.00109409190372	1.0	1.0027374760470846	1.0076923076923077	1.0076923076923077	1.0112179487179487	1.0051669316375198	1.0225903614457832	1.0247005988023952	1.0336521431101664	1.0047197640117995	1.0131233595800524	1.0	1.0077427039904705	1.0222434824204736	1.051094890510949	1.0659898477157361	1.0448160535117057	1.0159296896457017	1.0027777777777778	1.0	1.0020590253946466	1.0	1.0466101694915255	1.0434782608695652	1.0334476843910807	1.036845983787767	1.0095541401273886	1.0087094220110848	1.0035474970437526	1.0055107262349932	1.0691358024691358	1.0378548895899053	1.0309555854643337	1.0285714285714285	1.0076726342710998	1.040816326530612	1.0427083333333331	1.0600676818950932	1.0064412238325282	1.0013297872340425	1.003948667324778	1.0	1.0098039215686274	1.0096618357487923	1.033167495854063	1.0183810533757511	1.0830945558739256	1.0012150668286757	1.0152505446623095	1.500131406044678
dealII-4	1.0134408602150538	1.0053619302949062	1.0066711140760507	0	1.0160513643659712	1.015079365079365	1.0463173880030372	0	1.041036717062635	1.024390243902439	1.0193305044790193	0	1.090643274853801	1.0851955307262569	1.054993678887484	0	1.0121212121212122	1.0189504373177842	1.0225255972696246	0	1.3642611683848798	1.1759890859481583	1.0703745743473325	0	1.0236406619385343	1.0162790697674418	1.0171428571428571	0	1.0195121951219512	1.0121212121212122	1.0	0	1.0	1.002724795640327	1.0054644808743167	0	1.0044843049327354	1.0033632286995515	1.0016787912702854	0	1.0023980815347722	1.0035714285714286	1.0052754982415006	0	1.0050761421319796	1.0114358322744599	1.0076142131979695	0	1.0644329896907216	1.0670103092783505	1.0603015075376885	0	1.0264550264550263	1.0386666666666666	1.0385126162018592	0	1.0	1.0082781456953642	1.0	0	1.0043668122270741	1.0032822757111597	1.0	0	1.0076923076923077	1.0128205128205128	1.0192307692307692	0	1.0512048192771084	1.0591317365269461	1.063053489195891	0	1.0236220472440944	1.0024937655860349	1.0160810005955927	0	1.1094890510948905	1.1387478849407784	1.0882943143812709	0	1.011111111111111	1.0092989985693848	1.0020590253946464	0	1.0847457627118644	1.0849802371541502	1.0660377358490567	0	1.0143312101910829	1.01187648456057	1.009854158454868	0	1.1209876543209876	1.070452155625657	1.0720053835800807	0	1.0537084398976981	1.084772370486656	1.0880681818181817	0	1.0064412238325282	1.0053191489361701	1.0138203356367226	0	1.0122549019607843	1.0193236714975846	1.0757324488667772	0	1.0888252148997135	1.0012150668286757	1.037037037037037	0
dealII-8	1.021505376344086	1.020107238605898	0	0	1.0401284109149278	1.0611111111111111	0	0	1.0583153347732182	1.04369918699187	0	0	1.1637426900584795	1.155027932960894	0	0	1.0393939393939393	1.0408163265306123	0	0	1.5085910652920962	1.2633015006821282	0	0	1.0401891252955082	1.0348837209302326	0	0	1.0317073170731708	1.0266666666666666	0	0	1.0027173913043477	1.008174386920981	0	0	1.0112107623318385	1.0112107623318385	0	0	1.014388489208633	1.013095238095238	0	0	1.0101522842639594	1.0165184243964422	0	0	1.115979381443299	1.1095360824742269	0	0	1.0714285714285714	1.0826666666666667	0	0	1.0032894736842106	1.009933774834437	0	0	1.0065502183406114	1.0065645514223194	0	0	1.0307692307692307	1.0256410256410255	0	0	1.105421686746988	1.1040419161676647	0	0	1.036745406824147	1.0224438902743143	0	0	1.2518248175182483	1.287648054145516	0	0	1.0138888888888888	1.0007153075822603	0	0	1.1652542372881356	1.1442687747035574	0	0	1.0238853503184713	1.0221694378463975	0	0	1.2271604938271605	1.1303890641430074	0	0	1.1483375959079283	1.1766091051805339	0	0	1.0161030595813205	1.0106382978723405	0	0	1.0318627450980393	1.0603864734299517	0	0	1.1232091690544412	1.017010935601458	0	0
sphinx3-1	1.0080645161290323	1.0053619302949062	1.0066711140760507	1.0099601593625498	1.0016051364365972	1.0119047619047619	1.0523917995444192	1.0399442638179284	1.019438444924406	1.0345528455284554	1.0429042904290429	1.029106029106029	1.0292397660818713	1.0558659217877095	1.0311841550779604	1.0233952049497292	1.0227272727272727	1.021137026239067	1.024914675767918	1.02695455828394	1.1443298969072164	1.0743519781718964	1.0190124858115777	1.0222636815920398	1.037825059101655	1.033720930232558	1.0245714285714285	1.0226769911504425	1.0015243902439024	1.0034632034632034	1.0	1.0030165912518854	1.0054347826086956	1.0	1.0031876138433515	1.0	1.0	1.0	1.0	1.0001398601398601	1.0119904076738608	1.005952380952381	1.0117233294255568	1.0203408466190214	1.0	1.0025412960609912	1.0019035532994924	1.0028508077288565	1.0017182130584192	1.0266323024054982	1.0385259631490786	1.0132778438367023	1.0015873015873016	1.0016	1.0139442231075697	1.0229912875121006	1.0	1.0008278145695364	1.0	1.0020610057708161	1.0	1.0	1.0	1.0008212428141254	1.0048076923076923	1.001602564102564	1.0064102564102562	1.0098039215686274	1.0150602409638554	1.0172155688622755	1.1066241586964223	1.0205014749262538	1.0078740157480315	1.0099750623441397	1.0262060750446695	1.0385075340827554	1.0675182481751824	1.1125211505922166	1.0759197324414715	1.0197747871463883	1.005	1.004291845493562	1.001372683596431	1.0	1.0466101694915255	1.0642292490118577	1.0690394511149228	1.0488209285187915	1.0079617834394905	1.0039588281868568	1.001576665352779	1.0041330446762449	1.074074074074074	1.0725552050473186	1.059892328398385	1.0357142857142858	1.0064412238325282	1.0429570429570427	1.037109375	1.082602676511306	1.0144927536231885	1.0013297872340425	1.001974333662389	1.0	1.0073529411764706	1.0434782608695652	1.0823659480375898	1.0326970661010957	1.163323782234957	1.031591737545565	1.0364923747276689	1.5408672798948753
sphinx3-2	1.010752688172043	1.0093833780160857	1.009339559706471	1.0179282868525896	1.0224719101123596	1.0476190476190477	1.1123766135155657	1.0808174640037158	1.0323974082073435	1.0579268292682926	1.057048561999057	1.0494802494802495	1.0974658869395713	1.1070763500931098	1.0809102402022754	1.0477571539056458	1.0242424242424242	1.033527696793003	1.0392491467576792	1.0677392040643523	1.254295532646048	1.145293315143247	1.0465380249716232	1.0522388059701493	1.033096926713948	1.0162790697674418	1.0182857142857142	1.0378871681415929	1.0106707317073171	1.006060606060606	1.0004251700680271	1.0052790346907994	1.0	1.0	1.0031876138433515	1.0	1.0022421524663676	1.0022421524663676	1.0	1.0013986013986014	1.0071942446043165	1.0071428571428571	1.0152403282532239	1.048653106102254	1.00253807106599	1.0050825921219821	1.0031725888324874	1.0038010769718086	1.0498281786941581	1.0670103092783505	1.0661641541038527	1.025366627031312	1.0063492063492063	1.0224	1.0334661354581673	1.0648596321393997	1.0	1.0049668874172184	1.0016447368421053	1.0059769167353667	1.002183406113537	1.0021881838074398	1.0	1.003011223651793	1.0048076923076923	1.0056089743589745	1.0164835164835164	1.021462639109698	1.0376506024096386	1.0785928143712575	1.140984767977329	1.036283185840708	1.026246719160105	1.0112219451371571	1.0244192972007147	1.0645778521884717	1.135036496350365	1.2089678510998307	1.1073578595317726	1.0767646251029936	1.0033333333333332	1.005722460658083	1.0020590253946464	1.0	1.1292372881355932	1.1442687747035574	1.1367924528301887	1.0922991893883567	1.0143312101910829	1.0087094220110848	1.0067008277493101	1.0133831922849832	1.161111111111111	1.1332807570977919	1.0928667563930012	1.0692857142857144	1.067632850241546	1.1084567606306737	1.1178385416666667	1.1822796492847252	1.0144927536231885	1.0039893617021276	1.0118460019743336	1.0	1.0490196078431373	1.0615942028985508	1.1558872305140961	1.0814775539059738	1.1117478510028653	1.0097205346294047	1.0718954248366013	1.5968462549277267
sphinx3-4	1.0241935483870968	1.032171581769437	1.027351567711808	0	1.1059390048154094	1.1833333333333333	1.2475322703113136	0	1.1144708423326133	1.0640243902439024	1.091937765205092	0	1.2241715399610136	1.1973929236499068	1.1276864728192162	0	1.0803030303030303	1.0677842565597668	1.0778156996587032	0	1.4278350515463916	1.2257844474761255	1.1183314415437002	0	1.049645390070922	1.0453488372093023	1.046857142857143	0	1.0350609756097562	1.0265151515151514	1.005952380952381	0	1.0090579710144927	1.0063578564940963	1.006830601092896	0	1.0100896860986548	1.0106502242152466	1.0067151650811417	0	1.0215827338129497	1.0202380952380952	1.0257913247362251	0	1.017766497461929	1.0165184243964422	1.0158629441624365	0	1.1219931271477663	1.1262886597938144	1.106365159128978	0	1.073015873015873	1.0968	1.1203187250996014	0	1.0049342105263157	1.0140728476821192	1.0127467105263157	0	1.0087336244541485	1.0109409190371992	1.0070960698689957	0	1.032051282051282	1.03125	1.0348557692307692	0	1.1731927710843373	1.2080838323353293	1.1781792419411974	0	1.047244094488189	1.0386533665835411	1.0714711137581894	0	1.3795620437956204	1.3612521150592216	1.1909698996655518	0	1.0133333333333332	1.0085836909871244	1.0075497597803706	0	1.3262711864406778	1.3063241106719368	1.229416809605489	0	1.0429936305732483	1.0324623911322248	1.0331099724083563	0	1.3648148148148147	1.2429022082018928	1.151749663526245	0	1.2434782608695651	1.2737262737262733	1.2665441176470589	0	1.0322061191626408	1.023936170212766	1.0256663376110562	0	1.0980392156862746	1.1533816425120773	1.2625760088446656	0	1.163323782234957	1.0534629404617255	1.1345315904139432	0
sphinx3-8	1.064516129032258	1.0576407506702412	0	0	1.3579454253611556	1.3912698412698412	0	0	1.2116630669546435	1.2093495934959348	0	0	1.3723196881091617	1.324022346368715	0	0	1.153030303030303	1.14067055393586	0	0	1.7336769759450172	1.4488403819918145	0	0	1.1229314420803782	1.1162790697674418	0	0	1.0990853658536586	1.0772727272727272	0	0	1.0471014492753623	1.0227066303360581	0	0	1.0369955156950672	1.0358744394618835	0	0	1.040767386091127	1.042857142857143	0	0	1.0431472081218274	1.0406607369758576	0	0	1.2096219931271477	1.2001718213058419	0	0	1.2698412698412698	1.2856	0	0	1.0345394736842106	1.0322847682119205	0	0	1.0218340611353711	1.0218818380743981	0	0	1.0865384615384615	1.0737179487179487	0	0	1.3524096385542168	1.3562874251497006	0	0	1.1181102362204725	1.1084788029925188	0	0	1.7135036496350364	1.616751269035533	0	0	1.0516666666666667	1.0185979971387695	0	0	1.6927966101694916	1.6017786561264822	0	0	1.1385350318471337	1.107680126682502	0	0	1.635185185185185	1.4290220820189274	0	0	1.5100334448160535	1.5346392737697085	0	0	1.066022544283414	1.0571808510638299	0	0	1.2720588235294117	1.3442028985507246	0	0	1.2349570200573066	1.1616038882138517	0	0
milc-1	1.0134408602150538	1.0107238605898123	1.0140093395597065	1.0139442231075697	1.0224719101123596	1.03015873015873	1.0539104024297645	1.0171853228053878	1.060475161987041	1.0477642276422765	1.0353606789250354	1.034095634095634	1.131578947368421	1.100558659217877	1.056890012642225	1.025522041763341	1.0242424242424242	1.0204081632653061	1.0245733788395905	1.0372565622353938	1.395189003436426	1.1609822646657573	1.047105561861521	1.0186567164179106	1.0543735224586288	1.0383720930232558	1.028	1.0226769911504425	1.026829268292683	1.0169696969696969	1.0	1.009049773755656	1.016304347826087	1.0013623978201633	1.0027322404371584	1.0003403675970048	1.0044843049327354	1.0022421524663676	1.0013989927252378	1.0012587412587413	1.0167865707434052	1.0095238095238095	1.0064478311840563	1.0217152281473336	1.0101522842639594	1.013977128335451	1.0114213197969544	1.005701615457713	1.1030927835051547	1.106958762886598	1.085427135678392	1.0326991676575505	1.0396825396825398	1.056	1.0584329349269588	1.0438851242336238	1.0	1.0055187637969094	1.0021929824561404	1.0027480076944215	1.0043668122270741	1.0043763676148796	1.0	1.0052012044894607	1.017094017094017	1.0128205128205128	1.016025641025641	1.013672496025437	1.0632530120481927	1.0793413173652695	1.089620970598654	1.0221238938053097	1.0288713910761156	1.0099750623441397	1.026801667659321	1.0389858885434107	1.1569343065693432	1.2250423011844331	1.1290969899665553	1.0560285635814337	1.0095238095238095	1.007868383404864	1.004118050789293	1.0	1.1165254237288136	1.1205533596837944	1.0793310463121784	1.043662490788504	1.0286624203821657	1.0158353127474267	1.0145841545132046	1.0125959456799842	1.165432098765432	1.092534174553102	1.060116644235083	1.0340952380952382	1.0778032036613272	1.103021978021978	1.0876736111111112	1.1199238578680202	1.0096618357487923	1.0079787234042554	1.0078973346495557	1.007	1.0441176470588236	1.0277777777777777	1.0768380320619126	1.0445387062566278	1.1289398280802292	1.0303766707168893	1.0408496732026145	1.5469119579500656
milc-2	1.0241935483870968	1.022788203753351	1.0226817878585723	1.0209163346613546	1.0561797752808988	1.0674603174603174	1.0911161731207288	1.0504722093203283	1.1036717062634989	1.0853658536585367	1.064120697784064	1.0661122661122662	1.1842105263157894	1.1689944134078212	1.0979772439949431	1.0580046403712298	1.0454545454545454	1.0466472303206997	1.0395904436860068	1.0592718035563082	1.5085910652920962	1.2796725784447476	1.104994324631101	1.0793532338308458	1.0543735224586288	1.0465116279069768	1.0457142857142858	1.0414823008849559	1.0365853658536586	1.0278787878787878	1.0047619047619047	1.011764705882353	1.0108695652173914	1.005449591280654	1.0047814207650272	1.001361470388019	1.007847533632287	1.0061659192825112	1.004476776720761	1.0046153846153847	1.0119904076738608	1.0142857142857142	1.0164126611957796	1.054700384826828	1.0203045685279188	1.013977128335451	1.015228426395939	1.0126702565726955	1.134020618556701	1.1288659793814433	1.1061557788944723	1.0541022592152198	1.0767195767195767	1.0906666666666667	1.100265604249668	1.0890609874152952	1.006578947368421	1.011037527593819	1.0049342105263157	1.0115416323165702	1.0065502183406114	1.0087527352297594	1.0043668122270741	1.0073911853271285	1.0277777777777777	1.0288461538461537	1.0261752136752136	1.0222575516693164	1.1340361445783131	1.1347305389221556	1.1271696776478923	1.0314159292035399	1.0551181102362204	1.0174563591022443	1.0482430017867779	1.0739057641712508	1.2554744525547445	1.2859560067681894	1.1839464882943145	1.0991485855534193	1.0166666666666666	1.004291845493562	1.0	1.0	1.2182203389830508	1.1986166007905137	1.1466552315608918	1.0882461311717022	1.036624203821656	1.0308788598574823	1.0224674812770989	1.0261759496162173	1.2666666666666666	1.1735015772870663	1.095109914759982	1.0697142857142856	1.1478260869565218	1.1816418875242405	1.183159722222222	1.2341370558375635	1.0161030595813205	1.0159574468085106	1.0157946692991116	1.0	1.0416666666666667	1.0579710144927537	1.1337755666113876	1.093142453163662	1.1346704871060171	1.034021871202916	1.0876906318082789	1.6178712220762155
